,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
767,A'Shawn Robinson,LAR,25,,8,0,0,0,0,0,1,,,,,,0.0,12,6,6,0,1,
768,Kevon Seymour,PHI,27,,2,0,,,,,,,,,,,0.0,8,6,2,0,0,
769,Trent Sherfield,ARI,24,wr,15,1,,,,,,0,0,3,0,0,0.0,9,6,3,0,0,
770,Stantley Thomas-Oliver,CAR,22,,10,0,,,,,,,,,,,0.0,7,6,1,0,0,
771,Nick Thurman,NWE,25,de,7,1,,,,,,,,,,,0.0,10,6,4,1,0,
772,Vita Vea,TAM,25,nt,5,5,,,,,,,,,,,2.0,10,6,4,3,3,
773,Blidi Wreh-Wilson,ATL,31,,15,0,3,26,0,23,4,,,,,,0.0,9,6,3,1,0,
774,,,,,,,,,,,,,,,,,,,,,,,
775,B.J. Bello,LAC,26,,6,0,,,,,,,,,,,0.0,7,5,2,0,0,
776,Marquise Blair,SEA,23,,2,0,,,,,,1,0,0,0,0,0.0,8,5,3,0,0,
777,Tramaine Brock ,DET,32,,1,0,,,,,,,,,,,0.0,5,5,0,0,0,
778,Deon Bush,CHI,27,,11,0,1,10,0,10,2,,,,,,0.0,5,5,0,0,0,
779,Trenton Cannon,CAR,26,,14,0,,,,,,,,,,,0.0,6,5,1,0,0,
780,Kamalei Correa ,2TM,26,,9,6,0,0,0,0,1,,,,,,0.0,9,5,4,0,2,
781,Thomas Davis ,WAS,37,,7,0,0,0,0,0,1,,,,,,0.0,6,5,1,0,0,
782,Riley Dixon,NYG,27,p,16,0,,,,,,,,,,,0.0,5,5,0,0,0,
783,Samuel Eguavoen,MIA,27,ilb,16,1,0,0,0,0,1,,,,,,0.0,9,5,4,1,0,
784,Jayrone Elliott,PIT,29,,8,0,,,,,,,,,,,1.0,7,5,2,2,1,
785,Jordan Evans,CIN,25,,15,0,1,0,0,0,1,0,0,1,0,0,2.0,11,5,6,2,2,
786,Kylie Fitts,ARI,26,olb,13,1,,,,,,1,0,0,0,0,0.0,9,5,4,0,1,
787,Kavon Frazier,MIA,26,,15,0,,,,,,,,,,,0.0,6,5,1,0,0,
788,Alohi Gilman,LAC,23,ss,15,1,,,,,,,,,,,0.0,7,5,2,0,1,
789,Nate Hairston,2TM,26,,5,0,,,,,,,,,,,0.0,6,5,1,1,0,
790,Grant Haley,NOR,24,,1,0,1,0,0,0,1,,,,,,0.0,6,5,1,0,1,
791,C.J. Ham,MIN,27,FB,15,11,,,,,,,,,,,0.0,6,5,1,0,0,
792,Madre Harper,NYG,23,,9,0,,,,,,0,0,1,0,0,0.0,5,5,0,0,0,
793,Alijah Holder ,DEN,24,,8,0,,,,,,,,,,,0.0,7,5,2,0,0,
794,Malik Hooker ,IND,24,fs,2,2,,,,,,,,,,,0.0,7,5,2,0,0,
795,George Iloka,MIN,30,,4,0,,,,,,,,,,,0.0,6,5,1,1,0,
796,Melvin Ingram,LAC,31,de,7,7,1,0,0,0,2,,,,,,0.0,10,5,5,0,5,
797,Matthew Ioannidis,WAS,26,,3,0,,,,,,,,,,,1.5,7,5,2,2,4,
798,Chandler Jones,ARI,30,olb,5,5,,,,,,0,0,1,0,0,1.0,11,5,6,1,7,
799,Taiwan Jones,BUF,32,,13,0,,,,,,,,,,,0.0,6,5,1,0,0,
800,Austin Larkin,CAR,25,,9,0,,,,,,,,,,,0.0,12,5,7,1,0,
801,Cameron Lewis,BUF,23,cb,5,2,,,,,,,,,,,0.0,7,5,2,0,0,
802,Aaron Lynch ,JAX,27,,8,0,0,0,0,0,1,,,,,,1.0,6,5,1,1,3,
803,Trey Marshall,DEN,24,,12,0,,,,,,,,,,,0.0,6,5,1,0,0,
804,Takkarist McKinley ,ATL,25,de,4,4,0,0,0,0,1,,,,,,1.0,8,5,3,1,7,
805,,,,,,,,,,,,,,,,,,,,,,,
806,Herb Miller,TAM,23,,4,0,1,2,0,2,1,,,,,,0.0,5,5,0,0,0,
807,Parnell Motley,2TM,23,,4,1,0,0,0,0,1,0,0,1,5,0,0.0,8,5,3,0,0,
808,Alexander Myres,DET,24,,1,0,0,0,0,0,1,,,,,,0.0,5,5,0,0,0,
809,Kareem Orr,TEN,23,,5,0,,,,,,0,0,1,8,0,0.0,7,5,2,0,0,
810,Steven Parker,DAL,25,,8,0,,,,,,,,,,,0.0,8,5,3,0,0,
811,Randy Ramsey,GNB,25,,12,0,,,,,,,,,,,0.0,11,5,6,0,0,
812,Derick Roberson,TEN,25,olb,8,1,0,0,0,0,1,1,0,0,0,0,0.0,9,5,4,0,2,
813,Isaiah Rodgers,IND,22,,13,0,,,,,,,,,,,0.0,7,5,2,0,0,
814,Jeremy Sprinkle,WAS,26,te,16,6,,,,,,,,,,,0.0,6,5,1,0,0,
815,Taylor Stallworth,IND,25,dt,16,1,,,,,,0,0,1,0,0,0.5,12,5,7,1,1,
816,Kentavius Street,SFO,24,de,15,2,,,,,,,,,,,0.0,11,5,6,1,0,
817,Kendal Vickers,LVR,25,dt,15,2,,,,,,,,,,,2.0,10,5,5,3,3,
818,Joe Walker,SFO,28,,12,0,,,,,,,,,,,0.0,6,5,1,0,0,
819,Tim Ward,KAN,23,de,1,1,,,,,,,,,,,1.0,5,5,0,1,2,
820,Josh Watson,DEN,24,,9,0,,,,,,,,,,,0.0,5,5,0,0,0,
821,Derek Watt,PIT,28,,12,0,,,,,,,,,,,0.0,8,5,3,1,0,1
822,Ken Webster,SFO,24,,9,0,,,,,,1,1,0,0,0,0.0,6,5,1,0,0,
823,Quincy Williams,JAX,24,,7,0,0,0,0,0,1,1,0,0,0,0,0.0,11,5,6,1,0,
824,Eddie Yarbrough,MIN,27,,4,0,,,,,,,,,,,0.0,8,5,3,0,1,
825,Jamal Agnew,DET,25,wr,14,2,,,,,,0,2,1,0,0,0.0,4,4,0,0,0,
826,Deandre Baker,KAN,23,,2,1,0,0,0,0,1,,,,,,1.0,5,4,1,1,1,
827,Mike Boone,MIN,25,,16,0,,,,,,1,0,0,0,0,0.0,5,4,1,0,0,
828,Daniel Brown,NYJ,28,wr,16,1,,,,,,,,,,,0.0,5,4,1,0,0,
829,Jamal Carter ,ATL,26,,1,0,,,,,,,,,,,0.0,5,4,1,0,0,
830,Blake Cashman,NYJ,24,ilb,4,1,,,,,,,,,,,0.0,6,4,2,0,0,
831,Taco Charlton ,KAN,26,,7,0,,,,,,1,0,0,0,0,2.0,7,4,3,1,4,
832,Corey Clement,PHI,26,,15,0,,,,,,,,,,,0.0,5,4,1,0,0,
833,Carlos Davis,PIT,24,,7,0,,,,,,,,,,,0.0,6,4,2,1,0,
834,Cody Davis ,NWE,31,,13,0,,,,,,,,,,,0.0,9,4,5,0,0,
835,Matt Dickerson,TEN,25,,10,0,,,,,,,,,,,0.0,10,4,6,0,1,
836,,,,,,,,,,,,,,,,,,,,,,,
837,Ashton Dulin,IND,23,,13,0,,,,,,0,1,0,0,0,0.0,7,4,3,0,0,
838,Emeke Egbule,LAC,24,,14,0,,,,,,,,,,,0.0,7,4,3,0,1,
839,Kaden Elliss,NOR,25,,15,0,,,,,,,,,,,0.0,5,4,1,0,0,
840,Luke Gifford,DAL,25,,8,0,,,,,,,,,,,0.0,6,4,2,0,0,
841,Cam Gill,TAM,23,,12,0,,,,,,,,,,,0.0,6,4,2,0,0,
842,Tyler Hall,ATL,22,,9,0,,,,,,,,,,,0.0,6,4,2,0,0,
843,Penny Hart,SEA,24,,13,0,,,,,,,,,,,0.0,5,4,1,0,0,
844,Frank Herron,DET,26,,4,0,0,0,0,0,1,,,,,,0.0,5,4,1,1,0,
845,J.P. Holtz,CHI,27,te,16,1,,,,,,,,,,,0.0,5,4,1,0,0,
846,Bruce Irvin,SEA,33,olb,2,2,,,,,,,,,,,0.0,5,4,1,1,3,
847,Abry Jones,JAX,29,dt,5,5,,,,,,,,,,,0.0,8,4,4,0,0,
848,Dallin Leavitt,LVR,26,,9,0,0,0,0,0,2,,,,,,0.0,10,4,6,0,0,
849,Anthony Levine,BAL,33,ss,15,1,,,,,,0,0,2,1,0,0.0,7,4,3,0,0,
850,Cameron Malveaux,CLE,26,,2,0,,,,,,1,0,0,0,0,0.0,4,4,0,0,0,
851,Braden Mann,NYJ,23,p,16,0,,,,,,,,,,,0.0,4,4,0,0,0,
852,Kahlil McKenzie,CIN,23,,7,0,,,,,,,,,,,0.0,8,4,4,1,0,
853,Tony McRae,DET,27,,8,0,,,,,,,,,,,0.0,4,4,0,0,0,
854,Doug Middleton,JAX,27,,10,0,,,,,,,,,,,0.0,9,4,5,0,0,
855,C.J. Moore,DET,25,,12,0,,,,,,,,,,,0.0,7,4,3,0,0,
856,Shaquille Quarterman,JAX,23,,12,0,,,,,,,,,,,0.0,6,4,2,0,0,
857,Daniel Ross,2TM,27,,5,0,,,,,,,,,,,0.0,8,4,4,1,0,
858,Cam Sims,WAS,24,wr,16,10,,,,,,0,0,1,0,0,0.0,4,4,0,0,0,
859,Tuzar Skipper,TEN,25,olb,4,2,,,,,,,,,,,0.0,5,4,1,0,0,
860,Chris Smith,LVR,28,,8,0,,,,,,,,,,,1.0,5,4,1,0,4,
861,Ryan Smith,TAM,27,,16,0,,,,,,,,,,,0.0,4,4,0,0,0,
862,Julian Stanford,CAR,30,,16,0,,,,,,,,,,,0.0,10,4,6,0,0,
863,Zeke Turner,ARI,24,,16,0,,,,,,,,,,,0.0,14,4,10,0,0,
864,Derrek Tuszka,DEN,24,,9,0,,,,,,,,,,,0.0,6,4,2,1,0,
865,Justin Watson,TAM,24,wr,11,2,,,,,,,,,,,1.0,7,4,3,1,1,
866,Jace Whittaker,ARI,25,,4,0,,,,,,,,,,,0.0,4,4,0,0,0,
867,,,,,,,,,,,,,,,,,,,,,,,
868,Sylvester Williams,DEN,32,,8,0,0,0,0,0,2,,,,,,0.0,9,4,5,0,0,
869,Oshane Ximines,NYG,24,olb,4,3,,,,,,,,,,,0.0,5,4,1,1,3,
870,Brian Allen,SFO,27,cb,1,1,,,,,,,,,,,0.0,3,3,0,0,0,
871,Stephen Anderson,LAC,27,te,16,3,,,,,,,,,,,0.0,5,3,2,0,0,
872,Eli Apple,CAR,25,,2,0,,,,,,,,,,,0.0,4,3,1,0,0,
873,Vic Beasley,2TM,28,,10,0,,,,,,1,0,0,0,0,0.0,4,3,1,1,0,
874,Nick Bosa,SFO,23,de,2,2,,,,,,1,0,0,0,0,0.0,6,3,3,0,1,
875,James Burgess,GNB,26,,4,0,,,,,,,,,,,0.0,3,3,0,0,0,
876,Jason Cabinda,DET,24,mlb,16,2,,,,,,,,,,,0.0,7,3,4,0,0,
877,Austin Calitro,DEN,26,,13,0,,,,,,,,,,,0.0,3,3,0,0,0,
878,Derek Carrier,LVR,30,,16,0,,,,,,,,,,,0.0,7,3,4,0,0,
879,Dylan Cole,HOU,26,,6,0,,,,,,,,,,,0.0,6,3,3,0,0,
880,Nathan Cottrell,JAX,24,,8,0,,,,,,,,,,,0.0,5,3,2,0,0,
881,Blake Countess,PHI,27,,2,0,,,,,,,,,,,0.0,3,3,0,0,0,
882,Carl Davis,NWE,28,nt,3,1,,,,,,,,,,,0.0,3,3,0,1,0,
883,Jalen Davis,CIN,24,,6,0,,,,,,,,,,,0.0,4,3,1,0,0,
884,Ulysees Gilbert,PIT,23,,4,0,,,,,,,,,,,0.0,5,3,2,0,0,
885,Marcus Gilchrist,BAL,32,,2,0,,,,,,,,,,,0.0,3,3,0,0,0,
886,Ryan Griffin,NYJ,30,te,15,6,,,,,,,,,,,0.0,5,3,2,0,0,
887,Justin Hamilton,DAL,27,dt,10,2,,,,,,,,,,,0.0,10,3,7,0,1,
888,Damon Harrison,2TM,32,,7,0,,,,,,1,0,0,0,0,0.0,9,3,6,0,0,
889,Thomas Hennessy,NYJ,26,,16,0,,,,,,,,,,,0.0,5,3,2,0,0,
890,Brian Hill,ATL,25,rb,16,1,,,,,,0,2,1,0,0,0.0,4,3,1,0,0,
891,Travis Homer,SEA,22,,9,0,,,,,,,,,,,0.0,3,3,0,0,0,
892,Leon Jacobs,JAX,25,olb,3,2,,,,,,,,,,,0.0,3,3,0,1,0,
893,Malik Jefferson,LAC,24,,13,0,,,,,,,,,,,0.0,5,3,2,0,0,
894,Danny Johnson,WAS,25,,14,0,,,,,,,,,,,0.0,4,3,1,0,0,
895,Jaquan Johnson,BUF,25,,14,0,,,,,,,,,,,0.0,4,3,1,0,0,
896,Terrell Lewis,LAR,22,,8,0,,,,,,,,,,,2.0,5,3,2,2,4,
897,Ty Long,LAC,27,p,16,0,,,,,,,,,,,0.0,4,3,1,0,0,
898,,,,,,,,,,,,,,,,,,,,,,,
899,John Lovett,GNB,24,,8,0,,,,,,,,,,,0.0,4,3,1,0,0,
900,Justin March-Lillard,DAL,27,,12,0,,,,,,,,,,,0.0,4,3,1,0,0,
901,Josh Mauro,ARI,29,,3,2,,,,,,,,,,,1.0,5,3,2,1,1,
902,Daniel McCullers,CHI,28,,3,0,,,,,,,,,,,0.0,8,3,5,0,0,
903,T.Y. McGill,PHI,28,,7,0,,,,,,,,,,,0.5,9,3,6,1,3,
904,Christopher Milton,TEN,28,,14,0,,,,,,,,,,,0.0,3,3,0,0,0,
905,Henry Mondeaux,PIT,25,,11,0,,,,,,,,,,,0.0,5,3,2,1,2,
906,Bryan Mone,SEA,25,,10,0,,,,,,,,,,,0.5,9,3,6,1,2,1
907,Gabe Nabers,LAC,23,rb,16,5,,,,,,0,0,1,0,0,0.0,5,3,2,0,0,
908,Ryan Nall,CHI,25,,16,0,,,,,,,,,,,0.0,4,3,1,0,0,
909,Jared Norris ,WAS,27,,11,0,,,,,,,,,,,0.0,3,3,0,0,0,
910,Pat O'Connor,TAM,27,,16,0,,,,,,,,,,,1.0,4,3,1,1,1,
911,Alec Ogletree,NYJ,29,,2,1,,,,,,,,,,,0.0,3,3,0,3,0,
912,Cordarrelle Patterson*+,CHI,29,wr,16,3,,,,,,0,0,1,0,0,0.0,4,3,1,0,0,
913,Kevin Peterson,ARI,26,cb,12,1,0,0,0,0,1,0,0,1,0,0,0.0,6,3,3,0,0,
914,Dontari Poe,DAL,30,,7,7,,,,,,,,,,,0.0,7,3,4,0,0,
915,Jachai Polite,LAR,23,,11,0,,,,,,,,,,,1.0,4,3,1,1,1,
916,Brooks Reed,TEN,33,,2,1,,,,,,,,,,,1.0,4,3,1,1,1,
917,Caraun Reid,JAX,29,,7,0,,,,,,,,,,,0.0,5,3,2,0,0,
918,Luke Rhodes,IND,28,,16,0,,,,,,,,,,,0.0,3,3,0,0,0,
919,Jordan Richards,BAL,27,,16,0,,,,,,,,,,,0.0,4,3,1,0,0,
920,Amik Robertson,LVR,22,,8,0,,,,,,,,,,,0.0,4,3,1,0,0,
921,Stanford Samuels,GNB,21,,2,0,,,,,,,,,,,0.0,3,3,0,0,0,
922,Khalen Saunders,KAN,24,dt,3,1,,,,,,,,,,,0.0,3,3,0,0,0,
923,Kawann Short,CAR,31,dt,3,3,,,,,,,,,,,0.0,6,3,3,0,1,
924,Matthew Slater*,NWE,35,,16,0,,,,,,,,,,,0.0,7,3,4,0,0,
925,Benny Snell Jr.,PIT,22,rb,16,3,,,,,,0,2,2,0,0,0.0,5,3,2,0,0,
926,Akeem Spence,NWE,29,,6,0,,,,,,,,,,,0.0,9,3,6,0,0,
927,Linden Stephens,SEA,25,,13,0,,,,,,,,,,,0.0,3,3,0,0,0,
928,Levine Toilolo,NYG,29,te,16,2,,,,,,0,0,1,0,0,0.0,3,3,0,0,0,
929,,,,,,,,,,,,,,,,,,,,,,,
930,Kemoko Turay,IND,25,,7,0,,,,,,,,,,,1.0,4,3,1,1,3,
931,Jonathan Ward,ARI,23,,14,0,,,,,,,,,,,0.0,7,3,4,0,0,
932,Kristian Welch,BAL,22,,10,0,,,,,,,,,,,0.0,5,3,2,0,0,
933,Nick Westbrook-Ikhine,TEN,23,wr,14,1,,,,,,,,,,,0.0,3,3,0,0,0,
934,Javin White,LVR,23,,4,0,,,,,,,,,,,0.0,4,3,1,1,0,
935,Raequan Williams,PHI,23,,6,0,,,,,,,,,,,1.0,5,3,2,1,1,
936,Mitch Wishnowsky,SFO,28,p,16,0,,,,,,,,,,,0.0,4,3,1,0,0,
937,Chris Wormley,PIT,27,de,13,1,,,,,,,,,,,1.0,8,3,5,1,3,
938,Jabari Zuniga,NYJ,23,,8,0,,,,,,,,,,,0.0,5,3,2,0,0,
939,Ameer Abdullah,MIN,27,,16,0,,,,,,,,,,,0.0,2,2,0,0,0,
940,Josh Adams,NYJ,24,,8,0,,,,,,,,,,,0.0,3,2,1,0,0,
941,McTelvin Agim ,DEN,23,,10,0,0,0,0,0,1,,,,,,0.0,8,2,6,0,0,
942,Ben Banogu,IND,24,,9,0,,,,,,,,,,,0.0,6,2,4,0,0,
943,Chad Beebe,MIN,26,,14,0,,,,,,0,2,0,0,0,0.0,2,2,0,0,0,
944,LeVante Bellamy,DEN,24,,5,0,,,,,,,,,,,0.0,2,2,0,0,0,
945,Francis Bernard,DAL,25,,13,0,,,,,,,,,,,0.0,6,2,4,0,0,
946,Christian Blake,ATL,24,,16,0,,,,,,,,,,,0.0,3,2,1,0,0,
947,Khari Blasingame,TEN,24,fb,15,7,,,,,,,,,,,0.0,3,2,1,0,0,
948,Jacob Bobenmoyer,DEN,23,,16,0,,,,,,0,0,1,0,0,0.0,3,2,1,0,0,
949,Miles Boykin,BAL,24,WR,16,13,,,,,,,,,,,0.0,2,2,0,0,0,
950,Jordan Brailford,MIN,25,,5,0,,,,,,1,0,1,0,0,0.0,2,2,0,0,1,
951,Pharaoh Brown,HOU,26,te,13,9,,,,,,,,,,,0.0,2,2,0,0,0,
952,T.J. Brunson ,NYG,23,,5,0,,,,,,,,,,,0.0,3,2,1,0,0,
953,Jonathan Bullard,SEA,27,,6,0,,,,,,,,,,,0.0,8,2,6,0,2,
954,Deante Burton,DAL,26,,4,0,,,,,,,,,,,0.0,3,2,1,0,0,
955,Chase Claypool ,PIT,22,wr,16,6,,,,,,0,3,1,0,0,0.0,6,2,4,0,0,
956,Tyler Conklin,MIN,25,te,16,2,,,,,,0,1,0,0,0,0.0,2,2,0,0,0,
957,Xavier Crawford,CHI,25,,3,0,,,,,,,,,,,0.0,4,2,2,0,0,
958,Dominique Dafney,GNB,23,te,5,2,,,,,,,,,,,0.0,2,2,0,0,0,
959,Darrion Daniels,SFO,23,,4,0,,,,,,,,,,,0.0,4,2,2,0,0,
960,,,,,,,,,,,,,,,,,,,,,,,
961,Marlon Davidson ,ATL,22,,8,0,0,0,0,0,1,,,,,,0.0,8,2,6,0,0,
962,Duke Dawson,DEN,25,cb,12,1,,,,,,,,,,,0.0,8,2,6,0,0,
963,Khalil Dorsey,BAL,22,,6,0,,,,,,,,,,,0.0,2,2,0,0,0,
964,Ross Dwelley,SFO,25,te,16,9,,,,,,,,,,,0.0,2,2,0,0,0,
965,Reid Ferguson,BUF,26,,16,0,,,,,,,,,,,0.0,2,2,0,0,0,
966,Mark Fields II,2TM,24,,4,0,,,,,,,,,,,0.0,2,2,0,0,0,
967,Royce Freeman,DEN,24,,16,0,,,,,,,,,,,0.0,2,2,0,0,0,
968,Jonathan Garvin,GNB,21,,8,0,,,,,,,,,,,0.0,5,2,3,0,0,
969,Reggie Gilliam,BUF,23,,14,0,,,,,,1,0,0,0,0,0.0,2,2,0,0,0,
970,Ryan Glasgow,NOR,27,,2,0,,,,,,,,,,,0.0,3,2,1,0,0,
971,Woodrow Hamilton,CAR,28,,5,0,,,,,,0,0,1,0,0,0.0,3,2,1,0,0,
972,Demetrius Harris,CHI,29,te,15,5,,,,,,1,0,0,0,0,0.0,3,2,1,0,0,
973,Jamycal Hasty,SFO,24,,8,0,,,,,,0,1,0,0,0,0.0,2,2,0,0,0,
974,Tae Hayes,2TM,23,,3,0,,,,,,,,,,,0.0,3,2,1,0,0,
975,Nate Holley,MIA,26,,3,0,,,,,,,,,,,0.0,3,2,1,0,0,
976,Buddy Howell ,HOU,24,,14,0,,,,,,,,,,,0.0,2,2,0,0,0,
977,David Irving ,LVR,27,,2,0,,,,,,,,,,,0.0,4,2,2,0,0,
978,Joe Jackson,CLE,24,,3,0,,,,,,0,0,1,0,0,0.0,5,2,3,0,0,
979,Craig James,PHI,24,,4,0,,,,,,0,0,1,0,0,0.0,2,2,0,0,0,
980,Datone Jones,LVR,30,,1,0,,,,,,,,,,,0.0,2,2,0,0,0,
981,Xavier Jones,LAR,23,,13,0,,,,,,,,,,,0.0,3,2,1,0,0,
982,Nick Keizer,KAN,25,te,16,3,,,,,,0,1,0,0,0,0.0,4,2,2,0,0,
983,Marcus Kemp,2TM,25,,11,0,,,,,,,,,,,0.0,3,2,1,0,0,
984,Jordan Kunaszyk,WAS,24,,6,0,,,,,,,,,,,0.0,3,2,1,0,0,
985,Niko Lalos,NYG,23,,6,0,1,0,0,0,1,0,0,1,0,0,0.0,6,2,4,0,0,
986,Jeremiah Ledbetter,TAM,26,,3,0,,,,,,,,,,,1.0,3,2,1,1,2,
987,Corey Liuget,HOU,30,,6,1,,,,,,,,,,,1.0,4,2,2,2,2,
988,P.J. Locke,DEN,23,,15,0,,,,,,,,,,,0.0,3,2,1,0,0,
989,Mike Love,BUF,26,,1,0,,,,,,,,,,,0.0,2,2,0,1,0,
990,James Lynch,MIN,21,,9,0,,,,,,,,,,,1.0,3,2,1,1,1,
991,,,,,,,,,,,,,,,,,,,,,,,
992,Jaydon Mickens,TAM,26,,10,0,,,,,,,,,,,0.0,2,2,0,0,0,
993,Bruce Miller,JAX,33,,8,5,,,,,,1,0,0,0,0,0.0,2,2,0,0,0,
994,Chris Moore,BAL,27,,3,0,,,,,,,,,,,0.0,2,2,0,0,0,
995,Johnny Mundt,LAR,26,te,16,1,,,,,,,,,,,0.0,3,2,1,0,0,
996,K.J. Osborn,MIN,23,,9,0,,,,,,0,2,1,0,0,0.0,3,2,1,0,0,
997,Natrez Patrick,LAR,23,,13,0,,,,,,,,,,,0.0,3,2,1,0,0,
998,Elijhaa Penny,NYG,27,,14,0,,,,,,,,,,,0.0,7,2,5,0,0,
999,Samaje Perine,CIN,25,rb,16,1,,,,,,,,,,,0.0,3,2,1,0,0,
1000,Senorise Perry ,TEN,29,,7,0,,,,,,,,,,,0.0,3,2,1,0,0,
1001,Byron Pringle,KAN,27,wr,13,3,,,,,,,,,,,0.0,2,2,0,0,0,
1002,Kevin Rader,PIT,25,te,1,1,,,,,,,,,,,0.0,3,2,1,0,0,
1003,Wyatt Ray,TEN,24,de,4,1,,,,,,,,,,,1.0,2,2,0,1,1,
1004,Derek Rivers,2TM,26,,13,0,,,,,,,,,,,1.5,5,2,3,2,4,
1005,Deadrin Senat,ATL,26,,5,0,,,,,,0,0,1,0,0,0.0,4,2,2,0,0,
1006,Joey Slye,CAR,24,k,16,0,,,,,,,,,,,0.0,2,2,0,0,0,
1007,Tanzel Smart,NYJ,26,,3,0,,,,,,,,,,,0.0,3,2,1,0,0,
1008,Keith Smith,ATL,28,fb,16,7,,,,,,0,0,1,0,0,0.0,8,2,6,0,0,
1009,Rashad Smith,PHI,23,,2,0,,,,,,,,,,,0.0,3,2,1,0,0,
1010,Saivion Smith,DAL,23,db,6,1,,,,,,,,,,,0.0,3,2,1,0,0,
1011,Tremon Smith,IND,24,,10,0,,,,,,,,,,,0.0,2,2,0,0,0,
1012,Freddie Swain,SEA,22,wr,16,1,,,,,,0,0,2,0,0,0.0,2,2,0,0,0,
1013,Cordrea Tankersley,MIN,27,cb,2,1,,,,,,,,,,,0.0,2,2,0,0,0,
1014,Teair Tart,TEN,23,dt,7,1,0,0,0,0,1,,,,,,0.0,5,2,3,1,2,
1015,Pita Taumoepenu,ATL,26,,1,0,,,,,,,,,,,0.0,2,2,0,0,0,
1016,Malik Taylor,GNB,25,wr,15,1,,,,,,,,,,,0.0,3,2,1,0,0,
1017,Darwin Thompson,KAN,23,rb,14,1,,,,,,0,2,1,0,0,0.0,2,2,0,0,0,
1018,Kevin Toliver,DEN,25,,2,0,,,,,,,,,,,0.0,3,2,1,0,0,
1019,Zach Triner,TAM,29,,16,0,,,,,,,,,,,0.0,2,2,0,0,0,
1020,Dwayne Washington,NOR,26,,11,0,,,,,,,,,,,0.0,2,2,0,0,0,
1021,Jordan Wilkins,IND,26,,15,0,,,,,,,,,,,0.0,2,2,0,0,0,
1022,,,,,,,,,,,,,,,,,,,,,,,
1023,Jamaal Williams,GNB,25,rb,14,3,,,,,,,,,,,0.0,2,2,0,0,0,
1024,Trevor Williams,PHI,27,,2,0,0,0,0,0,1,,,,,,0.0,3,2,1,0,0,
1025,James Winchester,KAN,31,,16,0,,,,,,,,,,,0.0,3,2,1,0,0,
1026,Robert Windsor,IND,23,,2,0,,,,,,,,,,,0.0,2,2,0,0,0,
1027,Billy Winn,GNB,31,,6,0,0,0,0,0,2,,,,,,0.0,6,2,4,0,0,
1028,Tavon Young,BAL,26,,2,0,,,,,,,,,,,0.0,2,2,0,0,0,
1029,Olamide Zaccheaus,ATL,23,wr,11,2,,,,,,,,,,,0.0,2,2,0,0,0,
1030,Andrew Adams,TAM,28,,16,0,,,,,,,,,,,0.0,2,1,1,0,0,
1031,Matthew Adams,IND,25,,9,0,,,,,,,,,,,0.0,2,1,1,0,0,
1032,Freedom Akinmoladun,CIN,24,,2,0,,,,,,,,,,,0.0,2,1,1,0,0,
1033,Bryan Anger,HOU,32,p,16,0,,,,,,,,,,,0.0,1,1,0,0,0,
1034,Eli Ankou,DAL,26,,7,0,,,,,,,,,,,0.0,5,1,4,0,0,
1035,Geno Atkins,CIN,32,,8,0,,,,,,,,,,,0.0,1,1,0,0,1,
1036,Joe Bachie,PHI,22,,4,0,,,,,,,,,,,0.0,2,1,1,0,0,
1037,Jake Bailey*+,NWE,23,p,16,0,,,,,,,,,,,0.0,2,1,1,0,0,
1038,Markus Bailey,CIN,23,,11,0,0,0,0,0,1,,,,,,0.0,1,1,0,0,0,
1039,Kenjon Barner,TAM,31,,6,0,,,,,,,,,,,0.0,1,1,0,0,0,
1040,Tyler Bass,BUF,23,k,16,0,,,,,,,,,,,0.0,1,1,0,0,0,
1041,Rashod Berry,NWE,24,,3,0,,,,,,,,,,,0.0,1,1,0,0,0,
1042,Joel Bitonio*,CLE,29,G,16,16,,,,,,,,,,,0.0,1,1,0,0,0,
1043,C.J. Board,NYG,27,wr,14,4,,,,,,,,,,,0.0,2,1,1,0,0,
1044,Corey Bojorquez,BUF,24,p,16,0,,,,,,,,,,,0.0,1,1,0,0,0,
1045,Reggie Bonnafon,CAR,24,,2,0,,,,,,,,,,,0.0,1,1,0,0,0,
1046,Devontae Booker,LVR,28,rb,16,1,,,,,,0,1,1,0,0,0.0,2,1,1,0,0,
1047,Matt Breida,MIA,25,rb,12,1,,,,,,0,2,1,0,0,0.0,2,1,1,0,0,
1048,Antoine Brooks Jr.,PIT,22,,4,0,,,,,,,,,,,0.0,2,1,1,0,0,
1049,Andrew Brown,2TM,25,,7,0,,,,,,,,,,,1.0,3,1,2,1,1,
1050,Malcolm Brown ,LAR,27,,16,0,,,,,,0,1,0,0,0,0.0,1,1,0,0,0,
1051,Noah Brown,DAL,24,wr,16,1,,,,,,,,,,,0.0,2,1,1,0,0,
1052,Brandin Bryant,BUF,27,,1,0,,,,,,,,,,,0.0,1,1,0,0,0,
1053,,,,,,,,,,,,,,,,,,,,,,,
1054,Michael Burton,NOR,28,fb,15,4,,,,,,,,,,,0.0,1,1,0,0,0,
1055,Trey Burton,IND,29,te,13,4,,,,,,,,,,,0.0,2,1,1,0,0,
1056,Harrison Butker,KAN,25,k,16,0,,,,,,,,,,,0.0,1,1,0,0,0,
