,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
152,James Bradberry *,NYG,27,CB,15,15,3,19,0,19,18,2,0,1,0,0,0.0,54,44,10,0,0,
153,Joe Haden,PIT,31,CB,14,14,2,38,1,24,12,,,,,,0.0,52,44,8,2,0,
154,,,,,,,,,,,,,,,,,,,,,,,
155,Erik Harris,LVR,30,FS,14,12,0,0,0,0,5,1,0,0,0,0,0.0,61,44,17,1,1,
156,Anthony Hitchens,KAN,28,ILB,14,14,0,0,0,0,1,,,,,,0.0,78,44,34,2,4,
157,Janoris Jenkins ,NOR,32,CB,13,13,3,53,1,36,12,,,,,,0.0,55,44,11,2,0,
158,Micah Kiser,LAR,25,ilb,9,9,0,0,0,0,3,1,0,0,0,0,0.0,77,44,33,0,1,
159,Tre'Davious White *,BUF,25,CB,14,14,3,28,0,28,11,1,0,2,-1,0,1.5,57,44,13,2,3,
160,Shaquil Barrett,TAM,28,OLB,15,15,0,0,0,0,3,2,0,0,0,0,8.0,57,43,14,11,16,1
161,Ronald Darby,WAS,26,CB,16,16,0,0,0,0,16,0,0,1,0,0,0.0,55,43,12,1,0,
162,Kyle Dugger ,NWE,24,fs,14,7,,,,,,,,,,,0.0,64,43,21,1,0,
163,Rodney McLeod,PHI,30,FS,13,13,1,21,0,21,7,0,0,2,50,1,0.0,66,43,23,3,0,
164,Steven Nelson,PIT,27,CB,15,15,2,3,0,3,9,0,0,1,0,0,0.0,48,43,5,2,0,
165,Haason Reddick ,ARI,26,OLB,16,11,0,0,0,0,4,6,0,0,0,0,12.5,63,43,20,15,16,
166,Isaiah Simmons ,ARI,22,ilb,16,7,1,12,0,12,2,1,0,1,0,0,2.0,54,43,11,4,3,
167,T.J. Watt *+,PIT,26,OLB,15,15,1,0,0,0,7,2,0,0,0,0,15.0,53,43,10,23,41,
168,Quandre Diggs*,SEA,27,FS,16,16,5,57,0,32,10,,,,,,0.0,64,42,22,0,0,
169,Jordan Fuller,LAR,22,FS,12,12,3,45,0,37,5,,,,,,0.0,60,42,18,0,0,
170,Mike Hilton,PIT,26,cb,12,6,3,5,0,8,7,1,0,2,22,0,3.0,51,42,9,8,5,
171,Brandon Jones ,MIA,22,fs,16,4,0,0,0,0,1,1,0,0,0,0,1.0,62,41,21,3,1,
172,Jayron Kearse,DET,26,,11,7,0,0,0,0,2,1,0,0,0,0,0.0,59,41,18,0,1,
173,Jeff Okudah ,DET,21,cb,9,6,1,36,0,36,2,,,,,,0.0,47,41,6,4,0,
174,Sione Takitaki,CLE,25,OLB,15,12,1,50,1,50,1,,,,,,1.0,67,41,26,2,2,
175,Jaire Alexander*,GNB,23,CB,15,15,1,-4,0,-4,13,1,0,0,0,0,1.0,51,40,11,2,1,1
176,Xavien Howard*+,MIA,27,CB,16,16,10,77,0,29,20,1,0,0,0,0,0.0,51,40,11,1,0,
177,Desmond King,2TM,26,,15,8,0,0,0,0,2,0,0,1,63,1,2.0,55,40,15,2,2,
178,Jourdan Lewis,DAL,25,CB,15,13,0,0,0,0,2,0,0,1,0,0,2.0,59,40,19,7,1,
179,Byron Murphy,ARI,22,cb,15,7,0,0,0,0,8,0,0,2,3,0,2.0,51,40,11,3,2,
180,Grover Stewart,IND,27,NT,16,16,0,0,0,0,1,,,,,,0.5,53,40,13,6,5,
181,Kwon Alexander,2TM,26,,12,12,0,0,0,0,4,2,0,2,20,0,1.0,57,39,18,3,2,
